marker	target	nA	nB	wilcox.p	CLES	zA	zB	ZDiff	tissue
CDKN2A_1029_ENSG00000147889	AAK1_22848	3	8	0.460606060606061	0.541666666666667	-0.71	-0.65	-0.0599999999999999	BONE
CDKN2A_1029_ENSG00000147889	AATK_9625	3	8	0.539393939393939	0.5	0.18	0.16	0.02	BONE
CDKN2A_1029_ENSG00000147889	ABL1_25	3	8	0.248484848484849	0.666666666666667	-0.44	-0.265	-0.175	BONE
CDKN2A_1029_ENSG00000147889	ABL2_27	3	8	0.933333333333333	0.208333333333333	-0.1	-0.68	0.58	BONE
CDKN2A_1029_ENSG00000147889	ACVR1_90	3	8	0.0259717511011011	0.916666666666667	-0.24	0.56	-0.8	BONE
CDKN2A_1029_ENSG00000147889	ACVR1B_91	3	8	0.751515151515151	0.375	0.35	-0.355	0.705	BONE
CDKN2A_1029_ENSG00000147889	ACVR1C_130399	3	8	0.187878787878788	0.708333333333333	0.27	0.635	-0.365	BONE
CDKN2A_1029_ENSG00000147889	ACVR2A_92	3	8	0.821384301593813	0.333333333333333	0.76	0.255	0.505	BONE
CDKN2A_1029_ENSG00000147889	ACVR2B_93	3	8	0.387878787878788	0.583333333333333	-1.3	-1.175	-0.125	BONE
CDKN2A_1029_ENSG00000147889	ACVRL1_94	3	8	0.315151515151515	0.625	-0.74	-0.65	-0.09	BONE
CDKN2A_1029_ENSG00000147889	ADCK1_57143	3	8	0.206041524797844	0.6875	-0.1	0.55	-0.65	BONE
CDKN2A_1029_ENSG00000147889	ADCK2_90956	3	8	0.684848484848485	0.416666666666667	-0.17	-0.645	0.475	BONE
CDKN2A_1029_ENSG00000147889	COQ8B_79934	3	8	0.581053629275214	0.479166666666667	0.7	0.715	-0.015	BONE
CDKN2A_1029_ENSG00000147889	ADCK5_203054	3	8	0.612121212121212	0.458333333333333	0.84	0.51	0.33	BONE
CDKN2A_1029_ENSG00000147889	ADK_132	3	8	0.539393939393939	0.5	0.03	-0.015	0.045	BONE
CDKN2A_1029_ENSG00000147889	ADPGK_83440	3	8	0.0424242424242424	0.875	-1.87	-0.98	-0.89	BONE
CDKN2A_1029_ENSG00000147889	GRK2_156	3	8	0.979616723249579	0.104166666666667	-0.34	-1.13	0.79	BONE
CDKN2A_1029_ENSG00000147889	GRK3_157	3	8	0.153166155725974	0.729166666666667	1.02	1.39	-0.37	BONE
CDKN2A_1029_ENSG00000147889	MAGI2_9863	3	8	0.0624628870720431	0.833333333333333	-0.43	-0.175	-0.255	BONE
CDKN2A_1029_ENSG00000147889	AK1_203	3	8	0.00606060606060606	1	-1.67	-0.605	-1.065	BONE
CDKN2A_1029_ENSG00000147889	AK2_204	3	8	0.812121212121212	0.333333333333333	-0.14	-0.395	0.255	BONE
CDKN2A_1029_ENSG00000147889	AK4_205	3	8	0.0666666666666667	0.833333333333333	-0.89	0.08	-0.97	BONE
CDKN2A_1029_ENSG00000147889	AK3_50808	3	8	0.751515151515151	0.375	0.32	-0.135	0.455	BONE
CDKN2A_1029_ENSG00000147889	AK5_26289	3	8	0.139393939393939	0.75	0.44	0.95	-0.51	BONE
CDKN2A_1029_ENSG00000147889	AK7_122481	3	8	0.187878787878788	0.708333333333333	-1.74	0.225	-1.965	BONE
CDKN2A_1029_ENSG00000147889	AKT1_207	3	8	0.096969696969697	0.791666666666667	-1.01	0.15	-1.16	BONE
CDKN2A_1029_ENSG00000147889	AKT2_208	3	8	0.096969696969697	0.791666666666667	-1.08	-0.01	-1.07	BONE
CDKN2A_1029_ENSG00000147889	AKT3_10000	3	8	0.139393939393939	0.75	-0.83	-0.485	-0.345	BONE
CDKN2A_1029_ENSG00000147889	ALK_238	3	8	1	0	0.48	-0.31	0.79	BONE
CDKN2A_1029_ENSG00000147889	STRADB_55437	3	8	0.315151515151515	0.625	-0.69	-0.55	-0.14	BONE
CDKN2A_1029_ENSG00000147889	CDK15_65061	3	8	0.248484848484849	0.666666666666667	0.31	0.835	-0.525	BONE
CDKN2A_1029_ENSG00000147889	AMHR2_269	3	8	0.751515151515151	0.375	-0.3	-0.315	0.015	BONE
CDKN2A_1029_ENSG00000147889	ANKK1_255239	3	8	0.315151515151515	0.625	0.02	0.305	-0.285	BONE
CDKN2A_1029_ENSG00000147889	RIPK4_54101	3	8	0.0508447856069101	0.854166666666667	-0.91	0.36	-1.27	BONE
CDKN2A_1029_ENSG00000147889	ARAF_369	3	8	0.387878787878788	0.583333333333333	0.8	0.765	0.035	BONE
CDKN2A_1029_ENSG00000147889	NUAK1_9891	3	8	0.539393939393939	0.5	0.35	0.49	-0.14	BONE
CDKN2A_1029_ENSG00000147889	DBF4_10926	3	8	0.539393939393939	0.5	0.69	0.305	0.385	BONE
CDKN2A_1029_ENSG00000147889	ATM_472	3	8	0.248484848484849	0.666666666666667	-0.66	-0.205	-0.455	BONE
CDKN2A_1029_ENSG00000147889	ATR_545	3	8	0.139393939393939	0.75	-0.91	-0.405	-0.505	BONE
CDKN2A_1029_ENSG00000147889	AURKA_6790	3	8	0.0666666666666667	0.833333333333333	-5.28	-2.495	-2.785	BONE
CDKN2A_1029_ENSG00000147889	AURKB_9212	3	8	0.612121212121212	0.458333333333333	-0.71	-0.8	0.0900000000000001	BONE
CDKN2A_1029_ENSG00000147889	AURKC_6795	3	8	0.248484848484849	0.666666666666667	-1.59	-0.835	-0.755	BONE
CDKN2A_1029_ENSG00000147889	AXL_558	3	8	0.581053629275214	0.479166666666667	0.72	0.44	0.28	BONE
CDKN2A_1029_ENSG00000147889	MAGI1_9223	3	8	0.139393939393939	0.75	-0.4	0.485	-0.885	BONE
CDKN2A_1029_ENSG00000147889	BCKDK_10295	3	8	0.00606060606060606	1	-2.56	0.075	-2.635	BONE
CDKN2A_1029_ENSG00000147889	BCR_613	3	8	0.187878787878788	0.708333333333333	-2.07	-1.15	-0.92	BONE
CDKN2A_1029_ENSG00000147889	BLK_640	3	8	0.153166155725974	0.729166666666667	0.08	0.715	-0.635	BONE
CDKN2A_1029_ENSG00000147889	BMP2K_55589	3	8	0.94915521439309	0.1875	0.38	-0.13	0.51	BONE
CDKN2A_1029_ENSG00000147889	BMPR1A_657	3	8	0.139393939393939	0.75	-0.37	0.15	-0.52	BONE
CDKN2A_1029_ENSG00000147889	BMPR1B_658	3	8	0.658795958854242	0.4375	0.52	0.46	0.06	BONE
CDKN2A_1029_ENSG00000147889	BMPR2_659	3	8	0.987878787878788	0.0833333333333334	0.26	-0.135	0.395	BONE
CDKN2A_1029_ENSG00000147889	BMX_660	3	8	0.315151515151515	0.625	0.86	1.005	-0.145	BONE
CDKN2A_1029_ENSG00000147889	BRAF_673	3	8	0.460606060606061	0.541666666666667	-0.97	-1.51	0.54	BONE
CDKN2A_1029_ENSG00000147889	BRD2_6046	3	8	0.153166155725974	0.729166666666667	-0.26	0.645	-0.905	BONE
CDKN2A_1029_ENSG00000147889	BRD3_8019	3	8	0.130243020749724	0.75	0.31	0.895	-0.585	BONE
CDKN2A_1029_ENSG00000147889	BRD4_23476	3	8	0.187878787878788	0.708333333333333	-1.96	-1.37	-0.59	BONE
CDKN2A_1029_ENSG00000147889	BRDT_676	3	8	0.937537112927957	0.208333333333333	0.74	0.375	0.365	BONE
CDKN2A_1029_ENSG00000147889	BTK_695	3	8	0.0424242424242424	0.875	-2.92	-1.04	-1.88	BONE
CDKN2A_1029_ENSG00000147889	BUB1_699	3	8	0.00606060606060606	1	-0.79	0.335	-1.125	BONE
CDKN2A_1029_ENSG00000147889	BUB1B_701	3	8	0.0242424242424242	0.916666666666667	-1.05	0.28	-1.33	BONE
CDKN2A_1029_ENSG00000147889	PSTK_118672	3	8	0.460606060606061	0.541666666666667	-0.07	0	-0.07	BONE
CDKN2A_1029_ENSG00000147889	TSSK4_283629	3	8	0.812121212121212	0.333333333333333	0.33	0.025	0.305	BONE
CDKN2A_1029_ENSG00000147889	LMBR1_64327	3	8	0.987878787878788	0.0833333333333334	0.74	-0.185	0.925	BONE
CDKN2A_1029_ENSG00000147889	IPPK_64768	3	8	0.957575757575758	0.166666666666667	0.87	0.115	0.755	BONE
CDKN2A_1029_ENSG00000147889	STKLD1_169436	3	8	0.341204041145758	0.604166666666667	-1.8	-1.6	-0.2	BONE
CDKN2A_1029_ENSG00000147889	CALM1_801	3	8	0.37946565246999	0.583333333333333	0.38	0.025	0.355	BONE
CDKN2A_1029_ENSG00000147889	CALM2_805	3	8	0.812121212121212	0.333333333333333	-0.85	-1.17	0.32	BONE
CDKN2A_1029_ENSG00000147889	CALM3_808	3	8	0.460606060606061	0.541666666666667	-0.92	-0.745	-0.175	BONE
CDKN2A_1029_ENSG00000147889	CAMK1_8536	3	8	0.187878787878788	0.708333333333333	-1.13	-0.37	-0.76	BONE
CDKN2A_1029_ENSG00000147889	CAMK1D_57118	3	8	0.95898367708402	0.166666666666667	1.09	0.225	0.865	BONE
