marker	target	nA	nB	wilcox.p	CLES	zA	zB	ZDiff	tissue	boxplot_data
CDKN2A_1029_ENSG00000147889	ACVR1_90	3	8	0.0259717511011011	0.916666666666667	-0.24	0.56	-0.8	BONE	11,-2,1,0.44,0.44,0.56,0.74,0.98,-1.81,-1.025,-0.24,-0.025,0.19;BONE,G292CLONEA141B1,0.44,0;BONE,HUO3N1,0.54,0;BONE,HUO9,-0.42,0;BONE,NOS1,0.69,0;BONE,NY,0.98,0;BONE,SAOS2,0.79,0;BONE,SJSA1,0.44,0;BONE,U2OS,0.58,0;BONE,CAL72,-0.24,2;BONE,HOS,0.19,2;BONE,MG63,-1.81,2
CDKN2A_1029_ENSG00000147889	ADPGK_83440	3	8	0.0424242424242424	0.875	-1.87	-0.98	-0.89	BONE	11,-3,1,-2.54,-1.425,-0.98,-0.37,0.17,-2.93,-2.4,-1.87,-1.635,-1.4;BONE,G292CLONEA141B1,0.17,0;BONE,HUO3N1,-1.59,0;BONE,HUO9,-0.8,0;BONE,NOS1,-1.26,0;BONE,NY,-1.16,0;BONE,SAOS2,-0.22,0;BONE,SJSA1,-0.52,0;BONE,U2OS,-2.54,0;BONE,CAL72,-1.4,2;BONE,HOS,-2.93,2;BONE,MG63,-1.87,2
CDKN2A_1029_ENSG00000147889	AK1_203	3	8	0.00606060606060606	1	-1.67	-0.605	-1.065	BONE	11,-2,1,-1.18,-0.74,-0.605,-0.2,0.11,-1.79,-1.73,-1.67,-1.585,-1.5;BONE,G292CLONEA141B1,-1.18,0;BONE,HUO3N1,-0.63,0;BONE,HUO9,0.11,0;BONE,NOS1,0.06,0;BONE,NY,-0.82,0;BONE,SAOS2,-0.58,0;BONE,SJSA1,-0.46,0;BONE,U2OS,-0.66,0;BONE,CAL72,-1.5,2;BONE,HOS,-1.67,2;BONE,MG63,-1.79,2
CDKN2A_1029_ENSG00000147889	BCKDK_10295	3	8	0.00606060606060606	1	-2.56	0.075	-2.635	BONE	11,-4,1,-0.73,-0.585,0.075,0.205,0.36,-3.21,-2.885,-2.56,-2.44,-2.32;BONE,G292CLONEA141B1,-0.44,0;BONE,HUO3N1,-0.73,0;BONE,HUO9,0.26,0;BONE,NOS1,0.36,0;BONE,NY,0.13,0;BONE,SAOS2,0.15,0;BONE,SJSA1,-1.91,0;BONE,U2OS,0.02,0;BONE,CAL72,-2.56,2;BONE,HOS,-2.32,2;BONE,MG63,-3.21,2
CDKN2A_1029_ENSG00000147889	BTK_695	3	8	0.0424242424242424	0.875	-2.92	-1.04	-1.88	BONE	11,-4,1,-1.57,-1.505,-1.04,-0.47,0.48,-3.11,-3.015,-2.92,-2.325,-1.73;BONE,G292CLONEA141B1,-0.73,0;BONE,HUO3N1,0.48,0;BONE,HUO9,-1.44,0;BONE,NOS1,-0.21,0;BONE,NY,-1.57,0;BONE,SAOS2,-0.8,0;BONE,SJSA1,-3.63,0;BONE,U2OS,-1.28,0;BONE,CAL72,-2.92,2;BONE,HOS,-1.73,2;BONE,MG63,-3.11,2
CDKN2A_1029_ENSG00000147889	BUB1_699	3	8	0.00606060606060606	1	-0.79	0.335	-1.125	BONE	11,-2,2,-0.3,-0.16,0.335,0.98,1.09,-1.31,-1.05,-0.79,-0.71,-0.63;BONE,G292CLONEA141B1,-0.2,0;BONE,HUO3N1,1.06,0;BONE,HUO9,1.09,0;BONE,NOS1,0.9,0;BONE,NY,-0.12,0;BONE,SAOS2,-0.3,0;BONE,SJSA1,0.75,0;BONE,U2OS,-0.08,0;BONE,CAL72,-0.63,2;BONE,HOS,-0.79,2;BONE,MG63,-1.31,2
CDKN2A_1029_ENSG00000147889	BUB1B_701	3	8	0.0242424242424242	0.916666666666667	-1.05	0.28	-1.33	BONE	11,-2,2,-0.07,-0.035,0.28,0.515,1.15,-1.83,-1.44,-1.05,-0.865,-0.68;BONE,G292CLONEA141B1,0,0;BONE,HUO3N1,-0.07,0;BONE,HUO9,0.23,0;BONE,NOS1,0.35,0;BONE,NY,1.15,0;BONE,SAOS2,0.68,0;BONE,SJSA1,-1.26,0;BONE,U2OS,0.33,0;BONE,CAL72,-1.05,2;BONE,HOS,-0.68,2;BONE,MG63,-1.83,2
CDKN2A_1029_ENSG00000147889	CASK_8573	3	8	0.0120465327023416	0.979166666666667	-1.55	-0.015	-1.535	BONE	11,-2,1,-0.61,-0.215,-0.015,0.68,0.84,-1.71,-1.63,-1.55,-1.08,-0.61;BONE,G292CLONEA141B1,-0.61,0;BONE,HUO3N1,-0.14,0;BONE,HUO9,0.57,0;BONE,NOS1,-0.29,0;BONE,NY,0.79,0;BONE,SAOS2,0.11,0;BONE,SJSA1,-0.14,0;BONE,U2OS,0.84,0;BONE,CAL72,-0.61,2;BONE,HOS,-1.55,2;BONE,MG63,-1.71,2
CDKN2A_1029_ENSG00000147889	CDK11A_728642	3	8	0.0242424242424242	0.916666666666667	-6.35	-2.56	-3.79	BONE	11,-7,0,-4.64,-3.545,-2.56,-1.275,-0.37,-6.64,-6.495,-6.35,-4.715,-3.08;BONE,G292CLONEA141B1,-0.43,0;BONE,HUO3N1,-2.12,0;BONE,HUO9,-0.37,0;BONE,NOS1,-4.64,0;BONE,NY,-4.16,0;BONE,SAOS2,-2.83,0;BONE,SJSA1,-2.93,0;BONE,U2OS,-2.29,0;BONE,CAL72,-3.08,2;BONE,HOS,-6.64,2;BONE,MG63,-6.35,2
CDKN2A_1029_ENSG00000147889	CDKN1A_1026	3	8	0.00606060606060606	1	0.56	1.155	-0.595	BONE	11,-1,2,0.9,1.055,1.155,1.345,1.56,-0.34,0.11,0.56,0.605,0.65;BONE,G292CLONEA141B1,1.56,0;BONE,HUO3N1,1.45,0;BONE,HUO9,0.9,0;BONE,NOS1,1.01,0;BONE,NY,1.12,0;BONE,SAOS2,1.1,0;BONE,SJSA1,1.24,0;BONE,U2OS,1.19,0;BONE,CAL72,0.56,2;BONE,HOS,0.65,2;BONE,MG63,-0.34,2
CDKN2A_1029_ENSG00000147889	CDKN1C_1028	3	8	0.00606060606060606	1	-1.25	0.515	-1.765	BONE	11,-2,1,-0.44,0.06,0.515,0.685,0.84,-1.96,-1.605,-1.25,-1.105,-0.96;BONE,G292CLONEA141B1,0,0;BONE,HUO3N1,0.68,0;BONE,HUO9,0.69,0;BONE,NOS1,0.46,0;BONE,NY,0.84,0;BONE,SAOS2,0.57,0;BONE,SJSA1,-0.44,0;BONE,U2OS,0.12,0;BONE,CAL72,-0.96,2;BONE,HOS,-1.96,2;BONE,MG63,-1.25,2
CDKN2A_1029_ENSG00000147889	CHKB_1120	3	8	0.00606060606060606	1	0.85	1.505	-0.655	BONE	11,0,2,1.11,1.24,1.505,1.74,1.89,0.77,0.81,0.85,0.88,0.91;BONE,G292CLONEA141B1,1.31,0;BONE,HUO3N1,1.39,0;BONE,HUO9,1.72,0;BONE,NOS1,1.62,0;BONE,NY,1.76,0;BONE,SAOS2,1.89,0;BONE,SJSA1,1.11,0;BONE,U2OS,1.17,0;BONE,CAL72,0.91,2;BONE,HOS,0.85,2;BONE,MG63,0.77,2
CDKN2A_1029_ENSG00000147889	CLK2_1196	3	8	0.0242424242424242	0.916666666666667	0.31	0.805	-0.495	BONE	11,-1,2,0.4,0.615,0.805,1.1,1.3,-0.13,0.09,0.31,0.475,0.64;BONE,G292CLONEA141B1,0.81,0;BONE,HUO3N1,0.8,0;BONE,HUO9,1.3,0;BONE,NOS1,1.03,0;BONE,NY,1.17,0;BONE,SAOS2,0.67,0;BONE,SJSA1,0.56,0;BONE,U2OS,0.4,0;BONE,CAL72,0.64,2;BONE,HOS,-0.13,2;BONE,MG63,0.31,2
CDKN2A_1029_ENSG00000147889	CSNK2A2_1459	3	8	0.0121212121212121	0.958333333333333	-4	-2.6	-1.4	BONE	11,-8,0,-3.27,-2.84,-2.6,-1.65,-0.57,-7.64,-5.82,-4,-3.465,-2.93;BONE,G292CLONEA141B1,-2.67,0;BONE,HUO3N1,-2.8,0;BONE,HUO9,-2,0;BONE,NOS1,-0.57,0;BONE,NY,-2.88,0;BONE,SAOS2,-2.53,0;BONE,SJSA1,-1.3,0;BONE,U2OS,-3.27,0;BONE,CAL72,-4,2;BONE,HOS,-7.64,2;BONE,MG63,-2.93,2
CDKN2A_1029_ENSG00000147889	DGKQ_1609	3	8	0.0424242424242424	0.875	-1.42	-0.14	-1.28	BONE	11,-3,1,-1.73,-1.01,-0.14,0.065,0.41,-2.72,-2.07,-1.42,-1.19,-0.96;BONE,G292CLONEA141B1,-1.37,0;BONE,HUO3N1,-0.65,0;BONE,HUO9,0.41,0;BONE,NOS1,-0.16,0;BONE,NY,0.21,0;BONE,SAOS2,-1.73,0;BONE,SJSA1,-0.12,0;BONE,U2OS,-0.08,0;BONE,CAL72,-0.96,2;BONE,HOS,-2.72,2;BONE,MG63,-1.42,2
CDKN2A_1029_ENSG00000147889	EIF2AK4_440275	3	8	0.0158492792462185	0.958333333333333	0.1	0.905	-0.805	BONE	11,-1,2,0.79,0.8,0.905,1.015,1.11,-0.16,-0.03,0.1,0.435,0.77;BONE,G292CLONEA141B1,0.81,0;BONE,HUO3N1,1.11,0;BONE,HUO9,0.15,0;BONE,NOS1,0.79,0;BONE,NY,1.39,0;BONE,SAOS2,0.92,0;BONE,SJSA1,0.89,0;BONE,U2OS,0.92,0;BONE,CAL72,0.1,2;BONE,HOS,0.77,2;BONE,MG63,-0.16,2
CDKN2A_1029_ENSG00000147889	EPHA4_2043	3	8	0.00606060606060606	1	-0.49	0.76	-1.25	BONE	11,-2,2,-0.05,0.2,0.76,1.005,1.17,-1.05,-0.77,-0.49,-0.37,-0.25;BONE,G292CLONEA141B1,1.17,0;BONE,HUO3N1,1.12,0;BONE,HUO9,-0.05,0;BONE,NOS1,0.71,0;BONE,NY,0.89,0;BONE,SAOS2,0.81,0;BONE,SJSA1,-0.01,0;BONE,U2OS,0.41,0;BONE,CAL72,-0.25,2;BONE,HOS,-1.05,2;BONE,MG63,-0.49,2
CDKN2A_1029_ENSG00000147889	ERBB2_2064	3	8	0.0410163229159796	0.875	0.15	0.885	-0.735	BONE	11,0,2,0.48,0.74,0.885,1.21,1.42,0.14,0.145,0.15,0.46,0.77;BONE,G292CLONEA141B1,0.48,0;BONE,HUO3N1,1.14,0;BONE,HUO9,0.74,0;BONE,NOS1,0.74,0;BONE,NY,1.28,0;BONE,SAOS2,1.42,0;BONE,SJSA1,0.87,0;BONE,U2OS,0.9,0;BONE,CAL72,0.77,2;BONE,HOS,0.14,2;BONE,MG63,0.15,2
CDKN2A_1029_ENSG00000147889	FGFR3_2261	3	8	0.00931680267708571	1	-2.18	-0.2	-1.98	BONE	11,-3,2,-0.65,-0.56,-0.2,0.2,0.24,-2.45,-2.315,-2.18,-1.685,-1.19;BONE,G292CLONEA141B1,-0.47,0;BONE,HUO3N1,0.16,0;BONE,HUO9,-0.38,0;BONE,NOS1,-0.02,0;BONE,NY,0.24,0;BONE,SAOS2,1.43,0;BONE,SJSA1,-0.65,0;BONE,U2OS,-0.65,0;BONE,CAL72,-1.19,2;BONE,HOS,-2.45,2;BONE,MG63,-2.18,2
CDKN2A_1029_ENSG00000147889	FGR_2268	3	8	0.0242424242424242	0.916666666666667	-2.14	-1.05	-1.09	BONE	11,-4,0,-1.43,-1.375,-1.05,-0.775,-0.34,-3.85,-2.995,-2.14,-1.995,-1.85;BONE,G292CLONEA141B1,-0.95,0;BONE,HUO3N1,-1.15,0;BONE,HUO9,-1.32,0;BONE,NOS1,-2.33,0;BONE,NY,-0.65,0;BONE,SAOS2,-0.34,0;BONE,SJSA1,-1.43,0;BONE,U2OS,-0.9,0;BONE,CAL72,-1.85,2;BONE,HOS,-2.14,2;BONE,MG63,-3.85,2
CDKN2A_1029_ENSG00000147889	MAP3K19_80122	3	8	0.0424242424242424	0.875	-2.3	-1.395	-0.905	BONE	11,-4,0,-2.65,-1.925,-1.395,-0.995,-0.56,-3.38,-2.84,-2.3,-2.19,-2.08;BONE,G292CLONEA141B1,-1.65,0;BONE,HUO3N1,-1.19,0;BONE,HUO9,-2.2,0;BONE,NOS1,-2.65,0;BONE,NY,-1.12,0;BONE,SAOS2,-1.6,0;BONE,SJSA1,-0.87,0;BONE,U2OS,-0.56,0;BONE,CAL72,-2.08,2;BONE,HOS,-3.38,2;BONE,MG63,-2.3,2
CDKN2A_1029_ENSG00000147889	MTOR_2475	3	8	0.0424242424242424	0.875	-1.85	-0.62	-1.23	BONE	11,-3,1,-1.8,-1.1,-0.62,-0.295,0.51,-2.37,-2.11,-1.85,-1.29,-0.73;BONE,G292CLONEA141B1,-0.77,0;BONE,HUO3N1,-1.43,0;BONE,HUO9,-1.8,0;BONE,NOS1,-0.7,0;BONE,NY,-0.54,0;BONE,SAOS2,0.51,0;BONE,SJSA1,-0.37,0;BONE,U2OS,-0.22,0;BONE,CAL72,-0.73,2;BONE,HOS,-2.37,2;BONE,MG63,-1.85,2
CDKN2A_1029_ENSG00000147889	FUK_197258	3	8	0.0242424242424242	0.916666666666667	-2.35	-0.53	-1.82	BONE	11,-3,1,-2,-0.85,-0.53,0.34,0.4,-2.78,-2.565,-2.35,-1.635,-0.92;BONE,G292CLONEA141B1,0.4,0;BONE,HUO3N1,-0.55,0;BONE,HUO9,0.37,0;BONE,NOS1,0.31,0;BONE,NY,-1.03,0;BONE,SAOS2,-0.51,0;BONE,SJSA1,-0.67,0;BONE,U2OS,-2,0;BONE,CAL72,-2.78,2;BONE,HOS,-2.35,2;BONE,MG63,-0.92,2
CDKN2A_1029_ENSG00000147889	FYN_2534	3	8	0.0424242424242424	0.875	-0.11	0.625	-0.735	BONE	11,-1,2,-0.25,0.23,0.625,1.035,1.23,-0.58,-0.345,-0.11,0.09,0.29;BONE,G292CLONEA141B1,0.6,0;BONE,HUO3N1,1.22,0;BONE,HUO9,0.48,0;BONE,NOS1,-0.25,0;BONE,NY,1.23,0;BONE,SAOS2,-0.02,0;BONE,SJSA1,0.65,0;BONE,U2OS,0.85,0;BONE,CAL72,-0.11,2;BONE,HOS,0.29,2;BONE,MG63,-0.58,2
CDKN2A_1029_ENSG00000147889	GSK3B_2932	3	8	0.0242424242424242	0.916666666666667	0.57	1.365	-0.795	BONE	11,0,2,0.96,1.1,1.365,1.46,1.85,0.54,0.555,0.57,0.835,1.1;BONE,G292CLONEA141B1,0.96,0;BONE,HUO3N1,1.2,0;BONE,HUO9,1.38,0;BONE,NOS1,1.85,0;BONE,NY,1.42,0;BONE,SAOS2,1.35,0;BONE,SJSA1,1,0;BONE,U2OS,1.5,0;BONE,CAL72,1.1,2;BONE,HOS,0.54,2;BONE,MG63,0.57,2
CDKN2A_1029_ENSG00000147889	GUK1_2987	3	8	0.0424242424242424	0.875	-1.94	-0.685	-1.255	BONE	11,-4,1,-1.42,-1.055,-0.685,0.13,0.61,-3.7,-2.82,-1.94,-1.365,-0.79;BONE,G292CLONEA141B1,-0.34,0;BONE,HUO3N1,0.6,0;BONE,HUO9,-1.42,0;BONE,NOS1,-0.93,0;BONE,NY,0.61,0;BONE,SAOS2,-0.76,0;BONE,SJSA1,-0.61,0;BONE,U2OS,-1.18,0;BONE,CAL72,-0.79,2;BONE,HOS,-3.7,2;BONE,MG63,-1.94,2
CDKN2A_1029_ENSG00000147889	HIPK1_204851	3	8	0.0242424242424242	0.916666666666667	-0.38	0.8	-1.18	BONE	11,-4,2,-0.51,0.12,0.8,1.015,1.59,-3.78,-2.08,-0.38,-0.31,-0.24;BONE,G292CLONEA141B1,1.03,0;BONE,HUO3N1,1,0;BONE,HUO9,0.63,0;BONE,NOS1,-0.15,0;BONE,NY,0.97,0;BONE,SAOS2,1.59,0;BONE,SJSA1,-0.51,0;BONE,U2OS,0.39,0;BONE,CAL72,-0.38,2;BONE,HOS,-3.78,2;BONE,MG63,-0.24,2
CDKN2A_1029_ENSG00000147889	ITPKA_3706	3	8	0.0424242424242424	0.875	-1.68	0.14	-1.82	BONE	11,-3,1,-1.21,-0.405,0.14,0.445,0.92,-2.41,-2.045,-1.68,-0.985,-0.29;BONE,G292CLONEA141B1,-0.38,0;BONE,HUO3N1,-1.21,0;BONE,HUO9,0.49,0;BONE,NOS1,0.92,0;BONE,NY,0.4,0;BONE,SAOS2,0.32,0;BONE,SJSA1,-0.43,0;BONE,U2OS,-0.04,0;BONE,CAL72,-0.29,2;BONE,HOS,-2.41,2;BONE,MG63,-1.68,2
CDKN2A_1029_ENSG00000147889	MAGI3_260425	3	8	0.0242424242424242	0.916666666666667	-0.93	0.33	-1.26	BONE	11,-2,2,-1.78,-0.305,0.33,0.81,1.06,-1.83,-1.38,-0.93,-0.885,-0.84;BONE,G292CLONEA141B1,0.25,0;BONE,HUO3N1,0.88,0;BONE,HUO9,1.06,0;BONE,NOS1,0.41,0;BONE,NY,-1.78,0;BONE,SAOS2,0.74,0;BONE,SJSA1,-0.41,0;BONE,U2OS,-0.2,0;BONE,CAL72,-1.83,2;BONE,HOS,-0.93,2;BONE,MG63,-0.84,2
CDKN2A_1029_ENSG00000147889	MAP2K4_6416	3	8	0.0424242424242424	0.875	0.31	0.71	-0.4	BONE	11,0,2,0.05,0.45,0.71,1.07,1.76,0,0.155,0.31,0.385,0.46;BONE,G292CLONEA141B1,0.05,0;BONE,HUO3N1,0.6,0;BONE,HUO9,1.3,0;BONE,NOS1,0.51,0;BONE,NY,1.76,0;BONE,SAOS2,0.39,0;BONE,SJSA1,0.82,0;BONE,U2OS,0.84,0;BONE,CAL72,0,2;BONE,HOS,0.31,2;BONE,MG63,0.46,2
CDKN2A_1029_ENSG00000147889	MAP3K13_9175	3	8	0.0121212121212121	0.958333333333333	-1.54	0.5	-2.04	BONE	11,-2,2,-0.58,0.145,0.5,0.985,1.64,-1.75,-1.645,-1.54,-0.965,-0.39;BONE,G292CLONEA141B1,1.64,0;BONE,HUO3N1,0.82,0;BONE,HUO9,0.53,0;BONE,NOS1,1.15,0;BONE,NY,0.47,0;BONE,SAOS2,0.37,0;BONE,SJSA1,-0.08,0;BONE,U2OS,-0.58,0;BONE,CAL72,-1.54,2;BONE,HOS,-1.75,2;BONE,MG63,-0.39,2
CDKN2A_1029_ENSG00000147889	MAP3K2_10746	3	8	0.0424242424242424	0.875	0.95	1.325	-0.375	BONE	11,0,3,0.92,1.095,1.325,1.675,2.36,0.79,0.87,0.95,1,1.05;BONE,G292CLONEA141B1,1.55,0;BONE,HUO3N1,2.36,0;BONE,HUO9,1.38,0;BONE,NOS1,1.8,0;BONE,NY,1.22,0;BONE,SAOS2,1.27,0;BONE,SJSA1,0.92,0;BONE,U2OS,0.97,0;BONE,CAL72,1.05,2;BONE,HOS,0.79,2;BONE,MG63,0.95,2
CDKN2A_1029_ENSG00000147889	MAP3K3_4215	3	8	0.0242424242424242	0.916666666666667	-0.97	-0.145	-0.825	BONE	11,-4,1,-2.44,-0.78,-0.145,0.415,0.83,-3.5,-2.235,-0.97,-0.93,-0.89;BONE,G292CLONEA141B1,0.83,0;BONE,HUO3N1,-0.43,0;BONE,HUO9,0.25,0;BONE,NOS1,0.58,0;BONE,NY,-0.75,0;BONE,SAOS2,0.14,0;BONE,SJSA1,-0.81,0;BONE,U2OS,-2.44,0;BONE,CAL72,-0.97,2;BONE,HOS,-3.5,2;BONE,MG63,-0.89,2
CDKN2A_1029_ENSG00000147889	MAPK14_1432	3	8	0.0121212121212121	0.958333333333333	-0.18	0.6	-0.78	BONE	11,-1,2,0.2,0.415,0.6,1.02,1.35,-0.6,-0.39,-0.18,0.075,0.33;BONE,G292CLONEA141B1,0.44,0;BONE,HUO3N1,0.46,0;BONE,HUO9,0.82,0;BONE,NOS1,1.22,0;BONE,NY,0.74,0;BONE,SAOS2,1.35,0;BONE,SJSA1,0.2,0;BONE,U2OS,0.39,0;BONE,CAL72,0.33,2;BONE,HOS,-0.6,2;BONE,MG63,-0.18,2
