marker	target	nA	nB	wilcox.p	CLES	zA	zB	ZDiff	tissue	boxplot_data
CDKN2A_1029_ENSG00000147889	ABCA4_24	6	6	0.0465367965367965	0.805555555555556	-0.212	-0.0325	-0.1795	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,-0.18,-0.09,-0.035,0,0.1,-0.29,-0.29,-0.21,-0.16,-0.16;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.04,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.03,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,0.1,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.09,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,0,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.18,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.29,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.55,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,0.32,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.2,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.16,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.22,2
CDKN2A_1029_ENSG00000147889	ABCB7_22	6	6	0.0324675324675325	0.833333333333333	-2.803	-1.948	-0.855	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-4,-1,-2.82,-2.29,-1.95,-1.77,-1.66,-3.25,-3.12,-2.805,-2.39,-1.8;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-1.66,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-2.09,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-1.77,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-2.82,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-1.81,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-2.29,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-2.78,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-2.83,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-3.12,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-1.8,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-2.39,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-3.25,2
CDKN2A_1029_ENSG00000147889	ABCD2_225	6	6	0.0324675324675325	0.833333333333333	-0.0075	0.1535	-0.161	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,0.11,0.11,0.15,0.24,0.27,-0.32,-0.14,-0.005,0.07,0.13;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,0.24,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,0.27,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,0.11,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,0.12,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.12,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,0.18,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,0.07,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.07,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.14,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,0.13,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,0.06,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.32,2
CDKN2A_1029_ENSG00000147889	ABCG1_9619	6	6	0.0324675324675325	0.833333333333333	-0.2105	-0.0305	-0.18	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,-0.22,-0.16,-0.03,0.01,0.01,-0.5,-0.26,-0.21,-0.06,-0.01;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,0,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,0.01,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,0.38,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.06,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.22,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.16,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.26,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.5,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.01,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.06,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.25,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.17,2
CDKN2A_1029_ENSG00000147889	ABCG2_9429	6	6	0.0205627705627706	0.861111111111111	-0.5895	-0.2765	-0.313	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,-0.48,-0.38,-0.28,-0.14,-0.14,-0.9,-0.75,-0.585,-0.49,-0.49;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.14,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.48,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.2,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.38,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,0.31,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.36,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.75,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.6,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.49,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.02,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.9,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.57,2
CDKN2A_1029_ENSG00000147889	ABHD11_83451	6	6	0.0324675324675325	0.833333333333333	-2.4415	-1.6225	-0.819	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-4,0,-2.57,-2.31,-1.625,-1.35,-0.93,-2.77,-2.77,-2.44,-2.22,-2.06;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-2.57,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-1.86,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-1.39,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.93,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-1.35,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-2.31,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-2.66,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-2.22,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-3.93,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-2.22,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-2.77,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-2.06,2
CDKN2A_1029_ENSG00000147889	ABHD16A_7920	6	6	0.012987012987013	0.888888888888889	-0.934	-0.4915	-0.4425	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-2,0,-0.66,-0.66,-0.49,-0.38,-0.24,-1.52,-1.44,-0.935,-0.7,-0.68;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.38,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.59,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-1.2,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.39,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.66,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.24,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.68,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.98,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-1.44,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.89,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.7,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-1.52,2
CDKN2A_1029_ENSG00000147889	ABHD2_11057	6	6	0.0465367965367965	0.805555555555556	-0.516	-0.1865	-0.3295	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,-0.46,-0.43,-0.19,0.04,0.12,-0.93,-0.7,-0.515,-0.32,0.02;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,0.12,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.32,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,0.04,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.43,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.46,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.06,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.48,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.93,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.7,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.32,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.55,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,0.02,2
CDKN2A_1029_ENSG00000147889	ABHD8_79575	6	6	0.0465367965367965	0.805555555555556	-0.6335	-0.344	-0.2895	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-2,1,-0.53,-0.44,-0.345,-0.07,0.03,-1.32,-1.01,-0.635,-0.38,-0.1;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.07,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.44,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.4,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.53,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,0.03,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.29,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.38,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.54,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-1.32,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.1,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-1.01,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.73,2
CDKN2A_1029_ENSG00000147889	ABI3_51225	6	6	0.0465367965367965	0.805555555555556	-0.842	-0.5585	-0.2835	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-2,0,-0.93,-0.7,-0.555,-0.35,-0.3,-0.91,-0.91,-0.84,-0.75,-0.58;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.7,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.67,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.35,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.3,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.44,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.93,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.75,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.58,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-1.27,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.84,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.91,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.84,2
