EntrezID	Inhibitors
18	L-ALANINE, PHENELZINE, PYRIDOXAL PHOSPHATE, PYRUVIC ACID, VALPROIC ACID, VIGABATRIN
19	GLYBURIDE, PROBUCOL
5243	VOACAMINE
8647	GLYBURIDE, PROBUCOL, QUINIDINE BARBITURATE
5244	BENZQUINAMIDE, CURCUMIN I
4363	SULFINPYRAZONE
1244	SULFINPYRAZONE
6833	CHLORPROPAMIDE, GLIPIZIDE, GLIQUIDONE, MITIGLINIDE, NATEGLINIDE, REPAGLINIDE, TOLBUTAMIDE
25	ADENOSINE TRIPHOSPHATE, BOSUTINIB, DASATINIB, IMATINIB, IMATINIB MESYLATE, NILOTINIB, PONATINIB, REGORAFENIB, SARACATINIB
27	ADENOSINE TRIPHOSPHATE
36	VALPROIC ACID
38	SULFASALAZINE
1636	BENAZEPRIL, BENAZEPRIL HYDROCHLORIDE, CANDOXATRIL, CAPTOPRIL, CILAZAPRIL, ENALAPRIL, ENALAPRIL MALEATE, ENALAPRILAT HYDRATE, FOSINOPRIL, FOSINOPRIL SODIUM, LISINOPRIL, LISINOPRIL HYDRATE, MOEXIPRIL, MOEXIPRIL HYDROCHLORIDE, PERINDOPRIL, PERINDOPRIL ERBUMINE, QUINAPRIL, QUINAPRIL HYDROCHLORIDE, RAMIPRIL, RESCINNAMINE, SPIRAPRIL, SPIRAPRIL HYDROCHLORIDE, TEMOCAPRIL, TRANDOLAPRIL
59272	LISINOPRIL, MOEXIPRIL
43	AMBENONIUM, AMBENONIUM CHLORIDE, DECAMETHONIUM, DEMECARIUM, DEMECARIUM BROMIDE, DONEPEZIL, DONEPEZIL HYDROCHLORIDE, EDROPHONIUM, EDROPHONIUM CHLORIDE, GALANTAMINE, GALLAMINE TRIETHIODIDE, ISOFLUROPHATE, MALATHION, MINAPRINE, NEOSTIGMINE, PHYSOSTIGMINE, PYRIDOSTIGMINE, PYRIDOSTIGMINE BROMIDE, RIVASTIGMINE, TACRINE, TUBOCURARINE
2182	ROSIGLITAZONE, TROGLITAZONE
58	LATRUNCULIN A
100	CLADRIBINE, DIPYRIDAMOLE, FLUDARABINE, PENTOSTATIN
6868	GW-3333
231	FIDARESTAT, SORBINIL, TOLRESTAT
1645	SALICYLIC ACID
6718	AZELAIC ACID, FINASTERIDE
207	NELFINAVIR, PERIFOSINE
210	AMINOLEVULINIC ACID
217	DISULFIRAM
7915	CHLORMERODRIN, DIVALPROEX SODIUM, SUCCINIC ACID, VALPROIC ACID
238	AP26113, ASP3026, CERITINIB, CRIZOTINIB, X-396
240	ABT-761, BALSALAZIDE, BALSALAZIDE DISODIUM, DIETHYLCARBAMAZINE, LICOFELONE, LINAZOLAST, LINETASTINE, LONAPALENE, MASOPROCOL, MECLOFENAMATE SODIUM, MECLOFENAMIC ACID, MINOCYCLINE, MK-591, OLSALAZINE SODIUM, SULFASALAZINE, ZILEUTON
241	AM103, AM803, DG031
249	LEVAMISOLE
251	LEVAMISOLE
279	ACARBOSE
290	ICATIBANT, TOSEDOSTAT
8639	HYDRALAZINE, PHENELZINE
316	ISOVANILLIN, MENADIONE
328	LUCANTHONE
358	ACETAZOLAMIDE
367	ENZALUTAMIDE, EPALRESTAT, FIDARESTAT, SORBINIL, ZENARESTAT
471	PEMETREXED
