# TSG_OG_classification v0.4 (jamesc@icr.ac.uk,1 26th September 2014)
# created from file: ~/Dropbox/Intercell_II_analysis/consensus_mutation_information_for_Intercell_140917.xlsx
# This file excludes genes where CGC has only a translocation reported, the TUSON q-value is > 0.1 or the TSG/OG classification is undetermined. Added in amp gene list from Santorius
#Gene_symbol	EntrezGene_ID	Ensembl_genes	classification
ABCB1	5243	ENSG00000085563	OG
ABI1	10006	ENSG00000136754	OG
ABL1	25	ENSG00000097007	OG
ACADS	35	ENSG00000122971	OG
ACVR1B	91	ENSG00000135503	TSG
ACVR2A	92	ENSG00000121989	TSG
ADAMTS19	171019	ENSG00000145808	TSG
AFF4	27125	ENSG00000072364	TSG
AJUBA	84962	ENSG00000129474	TSG
AK8	158067	ENSG00000165695	OG
AKT1	207	ENSG00000142208	OG
AKT2	208	ENSG00000105221	OG
ALK	238	ENSG00000171094	OG
AMBRA1	55626	ENSG00000110497	TSG
AMER1	139285	ENSG00000184675	TSG
AMOT	154796	ENSG00000126016	TSG
ANKRD46	157567	ENSG00000186106	TSG
ANO3	63982	ENSG00000134343	TSG
AOAH	313	ENSG00000136250	TSG
APC	324	ENSG00000134982	TSG
AQP2	359	ENSG00000167580	OG
ARF4	378	ENSG00000168374	OG
ARHGAP26	23092	ENSG00000145819	OG
ARHGAP35	2909	ENSG00000160007	TSG
ARHGAP5	394	ENSG00000100852	TSG
ARID1A	8289	ENSG00000117713	TSG
ARID1B	57492	ENSG00000049618	TSG
ARID2	196528	ENSG00000189079	TSG
ASXL1	171023	ENSG00000171456	TSG
ASXL2	55252	ENSG00000143970	TSG
ATAD2	29028	ENSG00000156802	TSG
ATG5	9474	ENSG00000057663	TSG
ATM	472	ENSG00000149311	TSG
ATP1A1	476	ENSG00000163399	OG
ATP2B3	492	ENSG00000067842	OG
ATRX	546	ENSG00000085224	TSG
AXIN1	8312	ENSG00000103126	TSG
B2M	567	ENSG00000166710	TSG
BAP1	8314	ENSG00000163930	TSG
BAX	581	ENSG00000087088	TSG
BCL10	8915	ENSG00000142867	TSG
BCL6	604	ENSG00000113916	OG
BCLAF1	9774	ENSG00000029363	OG
BCOR	54880	ENSG00000183337	TSG
BIRC3	330	ENSG00000023445	OG
BLM	641	ENSG00000197299	TSG
BMPR1A	657	ENSG00000107779	TSG
BRAF	673	ENSG00000157764	OG
BRCA1	672	ENSG00000012048	TSG
BRCA2	675	ENSG00000139618	TSG
BRE	9577	ENSG00000158019	TSG
BRIP1	83990	ENSG00000136492	TSG
BRWD3	254065	ENSG00000165288	TSG
BTBD11	121551	ENSG00000151136	OG
BTBD7	55727	ENSG00000011114	TSG
BTG3	10950	ENSG00000154640	TSG
BUB1B	701	ENSG00000156970	TSG
C2CD5	9847	ENSG00000111731	TSG
CACNA1D	776	ENSG00000157388	OG
CALR	811	ENSG00000179218	OG
CAPRIN2	65981	ENSG00000110888	OG
CARD11	84433	ENSG00000198286	OG
CARM1	10498	ENSG00000142453	OG
CASP8	841	ENSG00000064012	TSG
CBFB	865	ENSG00000067955	TSG
CBL	867	ENSG00000110395	TSG
CBLB	868	ENSG00000114423	TSG
CBLC	23624	ENSG00000142273	TSG
CCAR1	55749	ENSG00000060339	TSG
CCDC120	90060	ENSG00000147144	TSG
CCDC144NL	339184	ENSG00000205212	TSG
CCDC36	339834	ENSG00000173421	OG
CCDC6	8030	ENSG00000108091	OG
CCDC88A	55704	ENSG00000115355	TSG
CCND1	595	ENSG00000110092	OG
CCND3	896	ENSG00000112576	OG
CCNE1	898	ENSG00000105173	OG
CD58	965	ENSG00000116815	TSG
CD79A	973	ENSG00000105369	OG
CD79B	974	ENSG00000007312	OG
CDC27	996	ENSG00000004897	TSG
CDC73	79577	ENSG00000134371	TSG
CDH1	999	ENSG00000039068	TSG
CDK12	51755	ENSG00000167258	TSG
CDK4	1019	ENSG00000135446	OG
CDKN1A	1026	ENSG00000124762	TSG
CDKN1B	1027	ENSG00000111276	TSG
CDKN2A	1029	ENSG00000147889	TSG
CDKN2C	1031	ENSG00000123080	TSG
CEBPA	1050	ENSG00000245848	TSG
CERK	101927622	ENSG00000100422	TSG
CHD2	1106	ENSG00000173575	TSG
CHD3	1107	ENSG00000170004	TSG
CHD4	1108	ENSG00000111642	OG
CHD8	57680	ENSG00000100888	TSG
CHEK2	11200	ENSG00000183765	TSG
CIC	23152	ENSG00000079432	TSG
CMAS	55907	ENSG00000111726	OG
CNOT3	4849	ENSG00000088038	TSG
COL4A2	1284	ENSG00000134871	TSG
COL5A2	1290	ENSG00000204262	OG
CPB1	1360	ENSG00000153002	OG
CPEB2	132864	ENSG00000137449	TSG
CREBBP	1387	ENSG00000005339	TSG
CRIPAK	285464	ENSG00000179979	TSG
CRISPLD1	83690	ENSG00000121005	OG
CRLF2	64109	ENSG00000205755	OG
CSDE1	7812	ENSG00000009307	TSG
CSF3R	1441	ENSG00000119535	TSG
CSMD3	114788	ENSG00000164796	OG
CSNK2A1	1457	ENSG00000101266	TSG
CTCF	10664	ENSG00000102974	TSG
CTDNEP1	23399	ENSG00000175826	TSG
CTNNB1	1499	ENSG00000168036	OG
CTNND1	1500	ENSG00000198561	TSG
CUL1	8454	ENSG00000055130	OG
CUL3	8452	ENSG00000036257	TSG
CYLD	1540	ENSG00000083799	TSG
DAAM1	23002	ENSG00000100592	TSG
DACH1	1602	ENSG00000165659	TSG
DAXX	1616	ENSG00000204209	TSG
DCLK1	9201	ENSG00000133083	OG
DDB2	1643	ENSG00000134574	TSG
DDX3X	1654	ENSG00000215301	TSG
DDX5	1655	ENSG00000108654	OG
DENND6A	201627	ENSG00000174839	TSG
DEPDC5	9681	ENSG00000100150	TSG
DICER1	23405	ENSG00000100697	TSG
DIP2C	22982	ENSG00000151240	TSG
DKK2	27123	ENSG00000155011	OG
DNER	92737	ENSG00000187957	TSG
DNM2	1785	ENSG00000079805	TSG
DNMT3A	1788	ENSG00000119772	TSG
DUSP16	80824	ENSG00000111266	TSG
EBPL	84650	ENSG00000123179	OG
ECT2L	345930	ENSG00000203734	TSG
EEF1B2	619569	ENSG00000114942	OG
EGFR	1956	ENSG00000146648	OG
EIF1AX	101060318	ENSG00000173674_ENSG00000198692	OG
EIF2AK3	9451	ENSG00000172071	TSG
ELF3	1999	ENSG00000163435	TSG
EMG1	10436	ENSG00000126749	TSG
EP300	2033	ENSG00000100393	TSG
EPB41L4A	64097	ENSG00000129595	TSG
EPHA2	1969	ENSG00000142627	TSG
EPHA6	285220	ENSG00000080224	OG
ERBB2	2064	ENSG00000141736	OG
ERBB3	2065	ENSG00000065361	OG
ERCC2	2068	ENSG00000104884	TSG
ERCC3	2071	ENSG00000163161	TSG
ERCC4	2072	ENSG00000175595	TSG
ERCC5	2073	ENSG00000134899	TSG
EXO5	64789	ENSG00000164002	TSG
EXT1	2131	ENSG00000182197	TSG
