CDKL1_ENSG00000100490	CDKL1_8814
TLK2_ENSG00000146872	TLK2_11011
IRAK4_ENSG00000198001	IRAK4_51135
JAK2_ENSG00000096968	JAK2_3717
LMTK3_ENSG00000142235	LMTK3_114783
STK39_ENSG00000198648	STK39_27347
CDK11B_ENSG00000248333	CDK11B_984
DLG3_ENSG00000082458	DLG3_1741
RP11-78H18.2_ENSG00000229817	PRPF4B_8899
TRPM6_ENSG00000119121	TRPM6_140803
CDC42BPB_ENSG00000198752	CDC42BPB_9578
PIK3R1_ENSG00000145675	PIK3R1_5295
CPNE3_ENSG00000085719	CPNE3_8895
AK7_ENSG00000140057	AK7_122481
MAPK14_ENSG00000112062	MAPK14_1432
GALK1_ENSG00000108479	GALK1_2584
BMP2K_ENSG00000138756	BMP2K_55589
BTK_ENSG00000010671	BTK_695
PIK3CA_ENSG00000121879	PIK3CA_5290
TTK_ENSG00000112742	TTK_7272
EPHB3_ENSG00000182580	EPHB3_2049
BRSK1_ENSG00000160469	BRSK1_84446
CALM3_ENSG00000160014	CALM3_808
HCK_ENSG00000101336	HCK_3055
CDK15_ENSG00000138395	CDK15_65061
BRD3_ENSG00000169925	BRD3_8019
BCR_ENSG00000186716	BCR_613
INSRR_ENSG00000027644	INSRR_3645
PKLR_ENSG00000262785	PKLR_5313
TPK1_ENSG00000196511	TPK1_27010
DYRK1A_ENSG00000157540	DYRK1A_1859
DUSP21_ENSG00000189037	DUSP21_63904
PIP5K1A_ENSG00000143398	PIP5K1A_8394
TAF1L_ENSG00000122728	TAF1L_138474
RPS6KA1_ENSG00000117676	RPS6KA1_6195
MAPK13_ENSG00000156711	MAPK13_5603
STK38L_ENSG00000211455	STK38L_23012
MYLK4_ENSG00000145949	MYLK4_340156
GCK_ENSG00000106633	GCK_2645
MOK_ENSG00000080823	MOK_5891
BLK_ENSG00000136573	BLK_640
EPHB4_ENSG00000196411	EPHB4_2050
PANK1_ENSG00000152782	PANK1_53354
ACVR1B_ENSG00000135503	ACVR1B_91
PIK3C2A_ENSG00000011405	PIK3C2A_5286
ABL2_ENSG00000143322	ABL2_27
PIK3R2_ENSG00000105647	PIK3R2_5296
MAGI1_ENSG00000151276	MAGI1_9223
MAPK1_ENSG00000100030	MAPK1_5594
AK1_ENSG00000106992	AK1_203
AURKA_ENSG00000087586	AURKA_6790
SGK223_ENSG00000182319	SGK223_157285
MUSK_ENSG00000030304	MUSK_4593
STK25_ENSG00000115694	STK25_10494
AKT3_ENSG00000117020	AKT3_10000
DSTYK_ENSG00000133059	DSTYK_25778
PFKM_ENSG00000152556	PFKM_5213
AKT2_ENSG00000105221	AKT2_208
BMPR1A_ENSG00000107779	BMPR1A_657
CDKN2D_ENSG00000129355	CDKN2D_1032
MAP4K4_ENSG00000071054	MAP4K4_9448
NUAK2_ENSG00000163545	NUAK2_81788
TAB1_ENSG00000100324	TAB1_10454
RIOK1_ENSG00000124784	RIOK1_83732
PAK4_ENSG00000130669	PAK4_10298
DGKH_ENSG00000102780	DGKH_160851
MARK2_ENSG00000072518	MARK2_2011
MARK1_ENSG00000116141	MARK1_4139
