Drive Name	CancerGD Name	Notes
 786O_KIDNEY	7860_KIDNEY	
 A253_SALIVARY_GLAND	A253_HEADNECK	
 A673_BONE	A673_SOFT_TISSUE	"Probably should be A673 bone (ewings cell line misclassified as rhabdomyosarcoma, see http://web.expasy.org/cellosaurus/CVCL_0080)"
 CAL27_UPPER_AERODIGESTIVE_TRACT	CAL27_HEADNECK	
 CAL33_UPPER_AERODIGESTIVE_TRACT	CAL33_HEADNECK	
 DETROIT562_UPPER_AERODIGESTIVE_TRACT	DETROIT562_HEADNECK	
 FADU_UPPER_AERODIGESTIVE_TRACT	FADU_HEADNECK	
 G401_SOFT_TISSUE	G401_KIDNEY	http://web.expasy.org/cellosaurus/CVCL_0270
 HSC3_UPPER_AERODIGESTIVE_TRACT	HSC3_HEADNECK	
 SNU1_STOMACH	NCISNU1_STOMACH	
 NIHOVCAR3_OVARY	OVCAR3_OVARY	
 SCC25_UPPER_AERODIGESTIVE_TRACT	SCC25_HEADNECK	
 U251MG_CENTRAL_NERVOUS_SYSTEM	U251_CENTRAL_NERVOUS_SYSTEM	
 WM793_SKIN	WM793B_SKIN	
 127399_SOFT_TISSUE		
 1321N1_CENTRAL_NERVOUS_SYSTEM		
 921_EYE		
 ACCMESO1_PLEURA		
 AZ521_STOMACH		
 BC3C_URINARY_TRACT		
 BICR6_UPPER_AERODIGESTIVE_TRACT		
 BT16_CENTRAL_NERVOUS_SYSTEM		
 CAKI2_KIDNEY		
 CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 COLO201_LARGE_INTESTINE		
 COLO320_LARGE_INTESTINE		Potentially COLO-320-HSR but not clear case
 COLO741_SKIN		
 COV318_OVARY		
 COV362_OVARY		
 DLD1_LARGE_INTESTINE		
 F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 FUJI_SOFT_TISSUE		
 GISTT1_GASTROINTESTINAL_TRACT_(SITE_INDETERMINATE)		
 GP2D_LARGE_INTESTINE		
 HCC1359_LUNG		
 HCC1833_LUNG		
 HCC4006_LUNG		
 HCC827GR_LUNG		
 HCC95_LUNG		
 HEC1A_ENDOMETRIUM		
 HEC265_ENDOMETRIUM		
 HEC50B_ENDOMETRIUM		
 HEC6_ENDOMETRIUM		
 HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 HEPG2_LIVER		
 HEYA8_OVARY		
 HLF_LIVER		
 HMC18_BREAST		
 HRT18_LARGE_INTESTINE		
 HS294T_SKIN		
 HS695T_SKIN		
 HS729_SOFT_TISSUE		
 HS852T_SKIN		
 HS944T_SKIN		
 HSSYII_SOFT_TISSUE		
 HUG1N_STOMACH		
 HUH6_LIVER		
 IGR39_SKIN		
 ISHIKAWAHERAKLIO02ER_ENDOMETRIUM		
 JHUEM2_ENDOMETRIUM		
 JL1_PLEURA		
 JMSU1_URINARY_TRACT		
 K029AX_SKIN		
 KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 KNS81_CENTRAL_NERVOUS_SYSTEM		Potentially KNS81FD_CENTRAL_NERVOUS_SYSTEM
 KPL1_BREAST		
 KPNSI9S_AUTONOMIC_GANGLIA		
 KYSE30_OESOPHAGUS		
 L33_PANCREAS		
 LI7_LIVER		
 LMSU_STOMACH		
 LUDLU1_LUNG		
 MEL285_EYE		
 MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 NCIH1373_LUNG		
 NCIH2126_LUNG		
 NCIH2286_LUNG		
 OMM1_EYE		
 OUMS23_LARGE_INTESTINE		
 OVSAHO_OVARY		
 PANC0504_PANCREAS		
 PANC1_PANCREAS		
 PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT		
 PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT		
 PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 PK1_PANCREAS		
 RCC4_KIDNEY		
 RMUGS_OVARY		
 SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		
 SKNBE2_AUTONOMIC_GANGLIA		
 SKNMC_BONE		
 SNB19_CENTRAL_NERVOUS_SYSTEM		
 SNU1079_BILIARY_TRACT		
 SNU1105_CENTRAL_NERVOUS_SYSTEM		
 SNU349_KIDNEY		
 SNU410_PANCREAS		
 SNU685_ENDOMETRIUM		
 SNU719_STOMACH		
 SNU738_CENTRAL_NERVOUS_SYSTEM		
 SNU761_LIVER		
 SNU886_LIVER		
 SNUC2A_LARGE_INTESTINE		
 SNUC4_LARGE_INTESTINE		
 SQ1_LUNG		
 SS1A_SOFT_TISSUE		
 SUM52PE_BREAST		
 SW1353_BONE		
 SW403_LARGE_INTESTINE		
 SW480_LARGE_INTESTINE		
 SW579_THYROID		
 SYO1_SOFT_TISSUE		
 TCCPAN2_PANCREAS		
 TE14_OESOPHAGUS		
 TEN_ENDOMETRIUM		
 TUHR4TKB_KIDNEY		
 UBLC1_URINARY_TRACT		
 WM1799_SKIN		
 WM2664_SKIN		
 WM88_SKIN		
 YD38_UPPER_AERODIGESTIVE_TRACT		
 YMB1_BREAST		
