DepMap Name	CancerGD Name
143B_BONE	
A1207_CENTRAL_NERVOUS_SYSTEM	
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
BHY_UPPER_AERODIGESTIVE_TRACT	
BICR22_UPPER_AERODIGESTIVE_TRACT	
BICR56_UPPER_AERODIGESTIVE_TRACT	
BICR6_UPPER_AERODIGESTIVE_TRACT	
BT12_SOFT_TISSUE	
BT16_SOFT_TISSUE	
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
CACO2_LARGE_INTESTINE	
CAKI2_KIDNEY	
CAL27_UPPER_AERODIGESTIVE_TRACT	CAL27_HEADNECK
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL33_HEADNECK
CALU1_LUNG	
CH157MN_CENTRAL_NERVOUS_SYSTEM	
CJM_SKIN	
COLO699_LUNG	
COLO704_OVARY	
COLO741_SKIN	
COV362_OVARY	
COV434_OVARY	
COV504_OVARY	
COV644_OVARY	
CW9019_SOFT_TISSUE	
D341MED_CENTRAL_NERVOUS_SYSTEM	
D384_CENTRAL_NERVOUS_SYSTEM	
D425_CENTRAL_NERVOUS_SYSTEM	
D458_CENTRAL_NERVOUS_SYSTEM	
D556_CENTRAL_NERVOUS_SYSTEM	
DLD1_LARGE_INTESTINE	
EFE184_ENDOMETRIUM	
EW8_BONE	
EWS502_BONE	
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
FADU_UPPER_AERODIGESTIVE_TRACT	FADU_HEADNECK
G401_SOFT_TISSUE	G401_KIDNEY
GP2D_LARGE_INTESTINE	
GSS_STOMACH	
GSU_STOMACH	
HCC1359_LUNG	
HCC2429_LUNG	
HCC2450_LUNG	
HCC2814_LUNG	
HCC364_LUNG	
HCC461_LUNG	
HCC515_LUNG	
HCC827GR5_LUNG	
HCC95_LUNG	
HEC1A_ENDOMETRIUM	
HEC251_ENDOMETRIUM	
HEC50B_ENDOMETRIUM	
HEC59_ENDOMETRIUM	
HEKTE_KIDNEY	
HEYA8_OVARY	HEY_OVARY
HK2_KIDNEY	
HLC1_LUNG	
HLF_LIVER	
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
HS294T_SKIN	
HS944T_SKIN	
HSC2_UPPER_AERODIGESTIVE_TRACT	HSC2_HEADNECK
HSC3_UPPER_AERODIGESTIVE_TRACT	HSC3_HEADNECK
HUG1N_STOMACH	
HUTU_OTHER	
IGR39_SKIN	
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
IOMMLEE_CENTRAL_NERVOUS_SYSTEM	
JHESOAD1_OESOPHAGUS	
JHH5_LIVER	
JHOC5_OVARY	
