cell.line	BONE	BREAST	CENTRAL_NERVOUS_SYSTEM	CERVIX	ENDOMETRIUM	HEADNECK	LUNG	OESOPHAGUS	OVARY	PANCREAS
143B_BONE	1	0	0	0	0	0	0	0	0	0
93VU_HEADNECK	0	0	0	0	0	1	0	0	0	0
A427_LUNG	0	0	0	0	0	0	1	0	0	0
A549_LUNG	0	0	0	0	0	0	1	0	0	0
AC216_LUNG	0	0	0	0	0	0	1	0	0	0
AC295_LUNG	0	0	0	0	0	0	1	0	0	0
AC375_LUNG	0	0	0	0	0	0	1	0	0	0
AHEZ_LUNG	0	0	0	0	0	0	1	0	0	0
ASPC1_PANCREAS	0	0	0	0	0	0	0	0	0	1
BEN_LUNG	0	0	0	0	0	0	1	0	0	0
BT20_BREAST	0	1	0	0	0	0	0	0	0	0
BT474_BREAST	0	1	0	0	0	0	0	0	0	0
BT549_BREAST	0	1	0	0	0	0	0	0	0	0
BXPC3_PANCREAS	0	0	0	0	0	0	0	0	0	1
C33A_CERVIX	0	0	0	1	0	0	0	0	0	0
CAL120_BREAST	0	1	0	0	0	0	0	0	0	0
CAL51_BREAST	0	1	0	0	0	0	0	0	0	0
CAL72_BONE	1	0	0	0	0	0	0	0	0	0
CAMA1_BREAST	0	1	0	0	0	0	0	0	0	0
CAOV3_OVARY	0	0	0	0	0	0	0	0	1	0
CASKI_CERVIX	0	0	0	1	0	0	0	0	0	0
COV362_OVARY	0	0	0	0	0	0	0	0	1	0
COV504_OVARY	0	0	0	0	0	0	0	0	1	0
CROE33_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
DU4475_BREAST	0	1	0	0	0	0	0	0	0	0
ES2_OVARY	0	0	0	0	0	0	0	0	1	0
ESO26_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
FLO1_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
G292CLONEA141B1_BONE	1	0	0	0	0	0	0	0	0	0
NCIH1299_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH1650_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH1793_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH1838_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH1975_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH2228_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH23_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH2342_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH292_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH358_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH460_LUNG	0	0	0	0	0	0	1	0	0	0
NCIH727_LUNG	0	0	0	0	0	0	1	0	0	0
HCC1954_BREAST	0	1	0	0	0	0	0	0	0	0
HCC202_BREAST	0	1	0	0	0	0	0	0	0	0
HCC38_BREAST	0	1	0	0	0	0	0	0	0	0
HCC70_BREAST	0	1	0	0	0	0	0	0	0	0
HCH1_OVARY	0	0	0	0	0	0	0	0	1	0
HEC1A_ENDOMETRIUM	0	0	0	0	1	0	0	0	0	0
HELA_CERVIX	0	0	0	1	0	0	0	0	0	0
HOS_BONE	1	0	0	0	0	0	0	0	0	0
HOSMNNG_BONE	1	0	0	0	0	0	0	0	0	0
HS578T_BREAST	0	1	0	0	0	0	0	0	0	0
HUO3N1_BONE	1	0	0	0	0	0	0	0	0	0
HUO9_BONE	1	0	0	0	0	0	0	0	0	0
JHESOAD1_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
JIMT1_BREAST	0	1	0	0	0	0	0	0	0	0
KK_OVARY	0	0	0	0	0	0	0	0	1	0
KNS42_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0
KOC7C_OVARY	0	0	0	0	0	0	0	0	1	0
KPD_BONE	1	0	0	0	0	0	0	0	0	0
LM7_BONE	1	0	0	0	0	0	0	0	0	0
MCF12A_BREAST	0	1	0	0	0	0	0	0	0	0
MCF7_BREAST	0	1	0	0	0	0	0	0	0	0
MDAMB134VI_BREAST	0	1	0	0	0	0	0	0	0	0
MDAMB157_BREAST	0	1	0	0	0	0	0	0	0	0
MDAMB231_BREAST	0	1	0	0	0	0	0	0	0	0
MDAMB436_BREAST	0	1	0	0	0	0	0	0	0	0
MDAMB453_BREAST	0	1	0	0	0	0	0	0	0	0
MFE296_ENDOMETRIUM	0	0	0	0	1	0	0	0	0	0
MFM223_BREAST	0	1	0	0	0	0	0	0	0	0
MG63_BONE	1	0	0	0	0	0	0	0	0	0
MHM_BONE	1	0	0	0	0	0	0	0	0	0
MIAPACA2_PANCREAS	0	0	0	0	0	0	0	0	0	1
NOS1_BONE	1	0	0	0	0	0	0	0	0	0
NY_BONE	1	0	0	0	0	0	0	0	0	0
OAW42_OVARY	0	0	0	0	0	0	0	0	1	0
OE19_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
OE33_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
OHSN_BONE	1	0	0	0	0	0	0	0	0	0
OS25HAL_BONE	1	0	0	0	0	0	0	0	0	0
OV90_OVARY	0	0	0	0	0	0	0	0	1	0
OVAS_OVARY	0	0	0	0	0	0	0	0	1	0
OVISE_OVARY	0	0	0	0	0	0	0	0	1	0
OVMANA_OVARY	0	0	0	0	0	0	0	0	1	0
OVTOKO_OVARY	0	0	0	0	0	0	0	0	1	0
PANC_PANCREAS	0	0	0	0	0	0	0	0	0	1
PCI30_HEADNECK	0	0	0	0	0	1	0	0	0	0
PEO14_OVARY	0	0	0	0	0	0	0	0	1	0
PL5_PANCREAS	0	0	0	0	0	0	0	0	0	1
RES259_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0
RMGI_OVARY	0	0	0	0	0	0	0	0	1	0
SAOS2_BONE	1	0	0	0	0	0	0	0	0	0
SCC36_HEADNECK	0	0	0	0	0	1	0	0	0	0
SCC47_HEADNECK	0	0	0	0	0	1	0	0	0	0
SCC90_HEADNECK	0	0	0	0	0	1	0	0	0	0
SF188_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0
SIHA_CERVIX	0	0	0	1	0	0	0	0	0	0
SJSA1_BONE	1	0	0	0	0	0	0	0	0	0
SKBR3_BREAST	0	1	0	0	0	0	0	0	0	0
SKGT4_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
SKOV3_OVARY	0	0	0	0	0	0	0	0	1	0
SMOV2_OVARY	0	0	0	0	0	0	0	0	1	0
SUM149_BREAST	0	1	0	0	0	0	0	0	0	0
SUM44_BREAST	0	1	0	0	0	0	0	0	0	0
T47D_BREAST	0	1	0	0	0	0	0	0	0	0
TE1_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
TE10_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
TE11_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
TE14_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
TE6_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
TE8_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
TE9_OESOPHAGUS	0	0	0	0	0	0	0	1	0	0
TOV112D_OVARY	0	0	0	0	0	0	0	0	1	0
TOV21G_OVARY	0	0	0	0	0	0	0	0	1	0
U2OS_BONE	1	0	0	0	0	0	0	0	0	0
UW479_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0
VP229_BREAST	0	1	0	0	0	0	0	0	0	0
ZR7530_BREAST	0	1	0	0	0	0	0	0	0	0
