cell.line	BONE	BREAST	CENTRAL_NERVOUS_SYSTEM	ENDOMETRIUM	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KIDNEY	LARGE_INTESTINE	LIVER	LUNG	OESOPHAGUS	OTHER	OVARY	PANCREAS	PLEURA	PROSTATE	SKIN	SOFT_TISSUE	STOMACH	URINARY_TRACT
22RV1_PROSTATE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7860_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1207_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A172_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A204_SOFT_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A2058_SKIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A549_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
A673_SOFT_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACHN_KIDNEY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AGS_STOMACH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AM38_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPC1_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BT20_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BT474_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BXPC3_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C2BBE1_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C32_SKIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CADOES1_BONE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL120_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL51_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALU1_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CAOV3_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CAOV4_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CAS1_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFPAC1_PANCREAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CH157MN_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COLO205_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
COLO704_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COLO741_SKIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
COLO783_SKIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CORL23_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COV362_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COV434_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COV504_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COV644_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKMG_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLD1_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EFE184_ENDOMETRIUM	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFM19_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFO21_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EFO27_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EW8_BONE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EWS502_BONE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB1_CENTRAL_NERVOUS_SYSTEM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GP2D_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HCC1187_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC1395_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC1954_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC2218_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC2814_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HCC364_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HCC44_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HCC70_BREAST	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCC827_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HCC827GR5_LUNG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HCT116_LARGE_INTESTINE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HEC1A_ENDOMETRIUM	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEYA8_OVARY	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLF_LIVER	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
