cell.line	BREAST	OTHER	OVARY	PANCREAS
BT474_BREAST	1	0	0	0
BT549_BREAST	1	0	0	0
CAL51_BREAST	1	0	0	0
CAMA1_BREAST	1	0	0	0
EFM19_BREAST	1	0	0	0
HCC1143_BREAST	1	0	0	0
HCC1187_BREAST	1	0	0	0
HCC1395_BREAST	1	0	0	0
HCC1419_BREAST	1	0	0	0
HCC1428_BREAST	1	0	0	0
HCC1500_BREAST	1	0	0	0
HCC1806_BREAST	1	0	0	0
HCC1937_BREAST	1	0	0	0
HCC1954_BREAST	1	0	0	0
HCC38_BREAST	1	0	0	0
HS578T_BREAST	1	0	0	0
KPL1_BREAST	1	0	0	0
MCF7_BREAST	1	0	0	0
MDAMB157_BREAST	1	0	0	0
MDAMB231_BREAST	1	0	0	0
MDAMB361_BREAST	1	0	0	0
MDAMB436_BREAST	1	0	0	0
MDAMB453_BREAST	1	0	0	0
MDAMB468_BREAST	1	0	0	0
SKBR3_BREAST	1	0	0	0
SW527_BREAST	1	0	0	0
T47D_BREAST	1	0	0	0
ZR751_BREAST	1	0	0	0
609050M_OVARY	0	0	1	0
A2780_OVARY	0	0	1	0
A2780CIS_OVARY	0	0	1	0
MMOVCAR432BAST1_OVARY	0	0	1	0
OV1946_OVARY	0	0	1	0
OV90_OVARY	0	0	1	0
OVCA1369TR_OVARY	0	0	1	0
OVCA433_OVARY	0	0	1	0
OVCAR5_OVARY	0	0	1	0
OVCAR8_OVARY	0	0	1	0
OVCAR3_OVARY	0	0	1	0
SKOV3_OVARY	0	0	1	0
TOV1946_OVARY	0	0	1	0
TOV2223G_OVARY	0	0	1	0
TOV3133G_OVARY	0	0	1	0
ASPC1_PANCREAS	0	0	0	1
BXPC3_PANCREAS	0	0	0	1
CFPAC1_PANCREAS	0	0	0	1
CAPAN2_PANCREAS	0	0	0	1
HPAC_PANCREAS	0	0	0	1
HPAFII_PANCREAS	0	0	0	1
HPDE_OVARY	0	0	1	0
HS766T_PANCREAS	0	0	0	1
IMIMPC1_PANCREAS	0	0	0	1
IMIMPC2_PANCREAS	0	0	0	1
KP3_PANCREAS	0	0	0	1
KP4_PANCREAS	0	0	0	1
MIAPACA2_PANCREAS	0	0	0	1
PANC1_PANCREAS	0	0	0	1
PL45_PANCREAS	0	0	0	1
PATU8988S_PANCREAS	0	0	0	1
PATU8988T_PANCREAS	0	0	0	1
PANC0203_PANCREAS	0	0	0	1
PANC0327_PANCREAS	0	0	0	1
PANC0403_PANCREAS	0	0	0	1
PANC0504_PANCREAS	0	0	0	1
PANC0813_PANCREAS	0	0	0	1
PANC1005_PANCREAS	0	0	0	1
RWP1_PANCREAS	0	0	0	1
SKPC1_PANCREAS	0	0	0	1
SKPC3_PANCREAS	0	0	0	1
SU8686_PANCREAS	0	0	0	1
SW1990_PANCREAS	0	0	0	1
