cell.line	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	STOMACH	THYROID
EOL1CELL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
NB4rep2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1	0	0
