Gene,Alterations Considered
BIRC3_330_ENSG00000023445,Amplifications or recurrent mutations
AR_367_ENSG00000169083,Amplifications or recurrent mutations
NOTCH2_4853_ENSG00000134250,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NCOR1_9611_ENSG00000141027,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
TP53_7157_ENSG00000141510,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
RNF43_54894_ENSG00000108375,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NCOA3_8202_ENSG00000124151,Amplifications or recurrent mutations
PMS1_5378_ENSG00000064933,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
GNAS_2778_ENSG00000087460,Amplifications or recurrent mutations
FBXW7_55294_ENSG00000109670,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NOTCH1_4851_ENSG00000148400,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NF1_4763_ENSG00000196712,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
AFF4_27125_ENSG00000072364,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
UBR5_51366_ENSG00000104517,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
JAK2_3717_ENSG00000096968,Amplifications or recurrent mutations
MYCN_4613_ENSG00000134323,Amplifications
DNMT3A_1788_ENSG00000119772,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
APC_324_ENSG00000134982,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
HEY1_23462_ENSG00000164683,Amplifications or recurrent mutations
FLCN_201163_ENSG00000154803,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
ATRX_546_ENSG00000085224,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
KRAS_3845_ENSG00000133703,Recurrent mutations
TRRAP_8295_ENSG00000196367,Amplifications or recurrent mutations
CCNE1_898_ENSG00000105173,Amplifications or recurrent mutations
ALK_238_ENSG00000171094,Amplifications or recurrent mutations
FGFR2_2263_ENSG00000066468,Amplifications or recurrent mutations
TET2_54790_ENSG00000168769,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
FAT1_2195_ENSG00000083857,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
TGFBR2_7048_ENSG00000163513,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
TERT_7015_ENSG00000164362,Amplifications or recurrent mutations
RB1_5925_ENSG00000139687,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
CDH1_999_ENSG00000039068,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
KDM5C_8242_ENSG00000126012,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
MSH2_4436_ENSG00000095002,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
ATM_472_ENSG00000149311,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
KIT_3815_ENSG00000157404,Amplifications or recurrent mutations
PPM1D_8493_ENSG00000170836,Amplifications or recurrent mutations
SOX9_6662_ENSG00000125398,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
SPOP_8405_ENSG00000121067,Amplifications or recurrent mutations
PTPRK_5796_ENSG00000152894,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
EZH2_2146_ENSG00000106462,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
CTCF_10664_ENSG00000102974,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
MET_4233_ENSG00000105976,Amplifications or recurrent mutations
ARID1B_57492_ENSG00000049618,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
NUP98_4928_ENSG00000110713,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
KDM6A_7403_ENSG00000147050,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
SETD2_29072_ENSG00000181555,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
AXIN1_8312_ENSG00000103126,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
MYC_4609_ENSG00000136997,Amplifications
CDK4_1019_ENSG00000135446,Amplifications or recurrent mutations
FGFR1_2260_ENSG00000077782,Amplifications or recurrent mutations
MSH6_2956_ENSG00000116062,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
SMARCB1_6598_ENSG00000099956,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
PSIP1_11168_ENSG00000164985,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
PIK3R1_5295_ENSG00000145675,"Homozygous deletions, nonsense mutations, frameshift mutations, splice-site mutations and recurrent mutations"
SOX2_6657_ENSG00000181449,Amplifications or recurrent mutations
