ensembl_gene_id	entrezgene
ENSG00000230456	780
ENSG00000261893	1196
ENSG00000224774	1460
ENSG00000262785	5313
ENSG00000215641	5987
ENSG00000236227	6046
ENSG00000262304	7442
ENSG00000206342	8859
ENSG00000091436	51776
ENSG00000143674	84451
ENSG00000262145	91419
ENSG00000167524	124923
ENSG00000182319	157285
ENSG00000261694	203054
ENSG00000260489	169436
ENSG00000143466	9641
ENSG00000267972	139189
ENSG00000261899	51232
ENSG00000073009	8517
ENSG00000141720	8396
ENSG00000260533	340371
ENSG00000260195	2051
ENSG00000229817	8899
ENSG00000185839	204
ENSG00000230551	1452
